Basmati
name,max,min,mean,median,mode,standard deviation
AREA,10835,4996,7563.937866666667,7578.5,7661 ,862.1709137897705
PERIMETER,515.519,315.324,426.9057666666667,427.996,400.07800000000003 423.126 424.44 431.485 439.527 461.24300000000005 ,28.04443363998106
MAJOR_AXIS,255.6472,136.7606,202.33617633999998,202.9446,195.7175 197.9258 201.3093 204.8083 211.5687 ,14.820320656592461
MINOR_AXIS,63.7871,34.673,48.494265633333335,48.651799999999994,44.9257 45.2918 45.9751 46.4725 46.5078 46.6229 46.6254 46.9218 47.173 47.6609 47.9636 48.049 48.1571 48.1656 48.3476 48.381 48.4233 48.4304 48.4872 48.4955 48.549 48.702 48.8169 48.9856 49.0641 49.2549 49.9445 50.1097 50.1146 50.3357 50.5233 50.6302 50.9254 51.2032 51.2976 51.4188 51.5117 51.6086 51.9846 52.2561 53.3261 ,3.779293578610931
ECCENTRICITY,0.9868,0.9173,0.9702453066666666,0.9711,0.9727 ,0.006386761831142189
EQDIASQ,117.4545,79.7565,97.97478317333332,98.23055,98.7638 ,5.625713836455853
SOLIDITY,0.9907,0.8775,0.9701081866666666,0.9713,0.9724 ,0.007444943975021457
CONVEX_AREA,11198,5142,7797.523933333333,7813.5,7646 7649 8087 ,891.1227245491364
EXTENT,0.8888,0.2788,0.5038250733333333,0.456,0.3699 0.3963 ,0.14382024825077686
ASPECT_RATIO,6.1795,2.5114,4.194221826666666,4.188,4.3103 ,0.41168124012941726
ROUNDNESS,0.7253,0.3925,0.5216070066666667,0.5196,0.5114 ,0.03603187073440026
COMPACTNESS,0.625,0.4006,0.48533440000000005,0.4838,0.4831 ,0.02418499364415542
SHAPEFACTOR_1,0.0369,0.0203,0.026935566666666667,0.0267,0.0267 ,0.002112916461502231
SHAPEFACTOR_2,0.0095,0.0051,0.006452726666666666,0.0064,0.0063 ,0.0004950551187429487
SHAPEFACTOR_3,0.3907,0.1605,0.236134,0.2341,0.2334 ,0.02385617635910454
SHAPEFACTOR_4,0.9990000000000001,0.8962,0.9807612066666666,0.9818,0.9840000000000001 ,0.008370798713107485
Arborio
name,max,min,mean,median,mode,standard deviation
AREA,10336,4666,7531.717333333333,7593.0,7660 7763 ,781.1791788658488
PERIMETER,395.894,269.03,339.8523965333334,341.518,331.07199999999995 333.065 335.844 336.207 341.691 348.596 351.168 ,18.499318880893025
MAJOR_AXIS,166.4845,97.8148,137.5845392,138.31625,145.7455 ,8.022578891522189
MINOR_AXIS,86.7822,45.6124,70.45942802,71.0503,70.9436 72.0087 ,4.615681842093543
ECCENTRICITY,0.9494,0.6639,0.8573856266666666,0.8586,0.8616 ,0.021366412309485983
EQDIASQ,114.7179,77.0775,97.79048229333333,98.3245,98.7574 99.4191 ,5.167550655953352
SOLIDITY,0.9912,0.9394,0.9766310266666666,0.9779,0.9819 ,0.006818366619226276
CONVEX_AREA,10537,4758,7712.890333333334,7777.0,7854 ,807.1188847372457
EXTENT,0.8482,0.4628,0.6833175533333332,0.6694,0.6269 ,0.0608777592829996
ASPECT_RATIO,3.1827,1.3373,1.9581123533333331,1.9507,1.9264 1.9701 ,0.1336262544005462
ROUNDNESS,0.9364,0.637,0.8177279399999999,0.8176,0.8211 ,0.026087886893075556
COMPACTNESS,0.8559,0.5551,0.71139134,0.7115,0.7061 ,0.023833017906269616
SHAPEFACTOR_1,0.0284,0.0148,0.01838154,0.0182,0.0179 ,0.001276904823180581
SHAPEFACTOR_2,0.0135,0.0077,0.00940418,0.0093,0.0092 ,0.0005849655316724935
SHAPEFACTOR_3,0.7326,0.3081,0.5066454333333332,0.5062,0.5039 ,0.033986783832011896
